baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
1430.0,True,1.0,True,True,106.61,negotiable,Harburg_Kreis,True,3.0,2.0,False,A
800.0,True,1.0,True,True,88.67,negotiable,M?hldorf_am_Inn_Kreis,True,3.0,3.0,False,A
696.0,False,1.0,True,False,31.88,negotiable,Bonn,True,1.0,2.0,False,B
1342.91,True,5.0,False,True,119.37,negotiable,Bielefeld,True,4.0,3.0,False,B
910.0,True,1.0,False,True,86.0,negotiable,Rhein_Neckar_Kreis,True,3.0,2.0,False,B
1070.0,True,1.0,True,False,74.16,negotiable,Frankfurt_am_Main,True,2.0,2.0,False,B
1300.0,True,2.0,True,True,86.0,negotiable,Heilbronn,True,2.0,2.0,True,A_PLUS
1017.0,True,2.0,False,True,96.0,negotiable,Rhein_Neckar_Kreis,True,4.0,1.0,False,B
2457.0,True,1.0,False,True,117.0,no,M?nchen,True,5.0,3.0,False,A
1250.0,True,1.0,False,True,97.0,negotiable,N?rnberg,True,3.0,1.0,False,B
1980.0,True,1.0,False,True,146.0,no,Main_Kinzig_Kreis,True,4.0,3.0,False,A_PLUS
1250.0,True,1.0,True,True,90.0,negotiable,Hamburg,True,3.0,5.0,False,A
1990.0,True,1.0,True,True,98.0,no,D?sseldorf,True,3.0,4.0,False,D
2600.0,True,3.0,True,True,126.0,negotiable,M?nchen,False,3.0,2.0,False,C
929.0,True,1.0,False,True,31.09,no,M?nchen,True,1.0,3.0,True,B
1380.0,True,2.0,True,True,115.0,no,B?blingen_Kreis,True,4.0,1.0,False,A
970.0,True,1.0,True,True,92.37,no,Heilbronn_Kreis,True,3.5,1.0,False,A_PLUS
1742.4,True,1.0,True,True,105.6,negotiable,Berlin,True,3.0,5.0,False,C
831.0,True,1.0,False,False,78.4,negotiable,Ortenaukreis,True,3.0,1.0,False,B
766.0,True,1.0,False,True,95.0,no,Borken_Kreis,True,3.0,1.0,False,A_PLUS
1450.0,True,1.0,False,True,105.0,no,Mettmann_Kreis,True,3.0,2.0,False,A_PLUS
881.0,False,1.0,False,True,88.0,negotiable,Rhein_Sieg_Kreis,False,2.0,2.0,False,A_PLUS
996.0,True,1.0,True,True,83.0,no,Ingolstadt,True,3.0,1.0,False,A_PLUS
1239.0,True,1.0,True,True,88.5,no,Unterallg?u_Kreis,True,2.0,2.0,False,C
699.0,True,1.0,True,True,84.0,negotiable,Magdeburg,True,3.0,1.0,False,B
701.39,True,1.0,False,False,73.83,no,Recklinghausen_Kreis,True,2.5,0.0,True,B
1590.0,True,1.0,True,True,121.0,negotiable,Mainz,True,4.0,1.0,True,B
849.0,True,1.0,True,True,63.05,negotiable,Braunschweig,True,2.0,4.0,False,A
1480.0,True,1.0,False,True,78.0,negotiable,M?nchen,True,2.0,0.0,True,A_PLUS
1665.0,True,1.0,True,True,117.5,negotiable,Hamburg,True,4.0,0.0,True,B
1200.0,True,1.0,False,True,122.0,no,M?nster,True,2.0,2.0,False,A_PLUS
2350.0,True,2.0,False,True,139.0,no,Ebersberg_Kreis,False,5.0,1.0,False,A_PLUS
790.0,True,1.0,False,True,78.0,negotiable,Dortmund,False,3.5,2.0,False,A_PLUS
880.0,True,1.0,False,False,92.97,no,Kleve_Kreis,True,3.0,2.0,False,A_PLUS
2245.22,True,1.0,True,False,106.92,negotiable,Berlin,True,3.0,3.0,False,C
1700.0,True,2.0,False,True,153.0,negotiable,Bielefeld,True,4.0,2.0,True,A_PLUS
942.66,True,1.0,False,True,81.97,no,Mannheim,True,2.0,3.0,False,A_PLUS
546.0,True,1.0,False,False,51.5,negotiable,Ortenaukreis,True,2.0,1.0,False,B
1499.0,True,1.0,True,True,63.03,no,M?nchen,True,2.0,2.0,False,B
1122.79,True,1.0,True,True,82.68,yes,Leipzig,True,3.0,5.0,False,B
1925.28,True,1.0,False,False,126.0,negotiable,Berlin,True,3.0,3.0,False,B
600.0,True,1.0,False,False,62.0,negotiable,Steinfurt_Kreis,True,2.0,2.0,False,A
1445.0,True,1.0,False,True,103.34,negotiable,D?sseldorf,True,4.0,3.0,False,B
996.0,True,1.0,False,True,109.45,no,Leipzig,True,3.0,4.0,False,B
1099.0,True,1.0,False,False,105.41,no,D?sseldorf,True,3.0,1.0,True,A
830.0,True,1.0,False,True,96.14,negotiable,M?hldorf_am_Inn_Kreis,True,3.0,0.0,True,A
940.54,True,1.0,True,False,72.91,yes,Dresden,True,3.0,2.0,False,C
1215.0,True,2.0,False,True,121.51,negotiable,Leipzig_Kreis,True,4.0,2.0,False,A
987.34,True,1.0,True,False,89.52,negotiable,Leipzig,True,3.0,3.0,False,B
